,Fund,Cat. Average,Index
Price/Earnings ,34.45,26.02,17.90
Price/Book ,2.40,1.59,1.36
Price/Sales ,5.03,5.46,3.14
Price/Cash Flow ,8.08,8.16,7.06
Dividend Yield % ,4.02,3.98,4.22
Long-Term Earnings % ,6.08,5.02,7.62
Historical Earnings % ,8.15,9.84,5.60
Sales Growth % ,4.71,2.58,7.90
Cash-Flow Growth % ,13.98,13.04,8.61
Book-Value Growth % ,1.32,1.48,5.56
