,Fund,Cat. Average,Index
Price/Earnings ,9.49,9.18,11.68
Price/Book ,0.72,0.65,0.87
Price/Sales ,0.67,0.44,0.58
Price/Cash Flow ,2.59,3.75,3.51
Dividend Yield % ,3.78,3.38,3.18
Long-Term Earnings % ,11.24,4.42,3.97
Historical Earnings % ,24.85,4.66,12.14
Sales Growth % ,9.34,3.59,2.16
Cash-Flow Growth % ,35.22,-4.66,9.96
Book-Value Growth % ,9.75,5.26,7.25
