,Fund,Category,Index
U.S.Stock,0.00,0.00,0.00
Non-U.S.Stock,99.72,80.35,99.59
Bonds,0.00,0.16,0.00
Other,0.00,2.74,0.40
Cash,0.28,4.74,0.00
Not Classified,0.00,12.09,0.01
