,Values
NAV,"10,019.23"
Open Price,"9,965.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,428.0 / 196,371.0"
Day Range,"9,885.00 – 9,965.00"
Year Range,"9,870.00 – 11,060.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.180%
Total Assets,218.9 Bil
