,Fund,Cat. Average,Index
Price/Earnings ,13.07,13.31,—
Price/Book ,1.04,0.99,—
Price/Sales ,0.35,0.52,—
Price/Cash Flow ,5.15,3.85,—
Dividend Yield % ,1.81,2.16,—
Long-Term Earnings % ,28.93,15.19,—
Historical Earnings % ,3.95,35.81,—
Sales Growth % ,6.21,2.99,—
Cash-Flow Growth % ,-8.78,2.81,—
Book-Value Growth % ,4.97,1.55,—
