,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.92,-1.75,-12.33,-14.16,-14.62,—,—,—,—,—,—
Total Return % (NAV),0.79,1.47,-11.00,-11.59,-12.92,—,—,—,—,—,-12.64
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
