,Values
NAV,"8,583.22"
Open Price,"8,440.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,762.0 / 714.2
Day Range,"8,380.00 – 8,445.00"
Year Range,"8,200.00 – 11,155.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.550%
Total Assets,7.3 Bil
