,Values
NAV,"7,614.19"
Open Price,"7,590.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"98.0 / 9,479.5"
Day Range,"7,565.00 – 7,620.00"
Year Range,"7,275.00 – 10,050.00"
SEC Yield ,—
12-Month Yield ,1.38%
Premium ,—
Expense Ratio,0.320%
Total Assets,3.0 Bil
