,Fund,Cat. Average,Index
Price/Earnings ,10.85,10.08,10.07
Price/Book ,1.31,1.04,0.93
Price/Sales ,0.53,0.61,0.40
Price/Cash Flow ,5.33,4.44,2.91
Dividend Yield % ,1.37,1.71,2.01
Long-Term Earnings % ,26.90,9.55,10.86
Historical Earnings % ,4.73,2.73,0.53
Sales Growth % ,-3.27,-1.44,-3.08
Cash-Flow Growth % ,-17.15,-10.31,-9.25
Book-Value Growth % ,1.85,6.21,2.39
