,Values
NAV,"7,106.73"
Open Price,"7,110.00"
Bid / Ask / Spread,"7,050.00 / 7,070.00 / 0.28%"
Volume / Avg,"1,296.0 / 3,196.3"
Day Range,"7,110.00 – 7,110.00"
Year Range,"6,780.00 – 9,770.00"
SEC Yield ,—
12-Month Yield ,1.20%
Premium ,—
Expense Ratio,0.350%
Total Assets,5.3 Bil
