,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-12.30
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-13.98
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,-5.02
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,2.79
Percentile Rank,—,—,—,—,—,—,—,—,—,—,75
# of Funds in Category,—,—,—,—,—,—,—,—,—,369,476
