,Values
NAV,"14,021.46"
Open Price,"13,660.00"
Bid / Ask / Spread,"0.00 / 14,000.00 / 0.00%"
Volume / Avg,"42,106.0 / 28,062.7"
Day Range,"13,615.00 – 13,740.00"
Year Range,"11,145.00 – 14,500.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.310%
Total Assets,41.4 Bil
