,Net,Short,Long,Cat.,Index
U.S.Stock,99.92,0.00,99.92,26.91,—
Non-U.S.Stock,0.90,0.00,0.90,41.47,—
Bonds,43.29,0.00,43.29,0.51,—
Other,0.00,0.00,0.00,0.78,—
Cash,-44.11,122.87,78.76,75.36,—
Not Classified,0.00,0.00,0.00,0.11,—
