,Fund,Cat. Average,Index
Price/Earnings ,8.41,13.31,—
Price/Book ,0.89,0.99,—
Price/Sales ,0.35,0.52,—
Price/Cash Flow ,1.73,3.85,—
Dividend Yield % ,2.67,2.16,—
Long-Term Earnings % ,8.57,15.19,—
Historical Earnings % ,12.28,35.81,—
Sales Growth % ,-5.14,2.99,—
Cash-Flow Growth % ,50.06,2.81,—
Book-Value Growth % ,-2.16,1.55,—
