,Values
Sustainability Rate,Average
Percent Rank in Global Category,66%
Historical Sustainability Score,43.38
Global Category,Industrials Sector Equity
Portfolio ESG,47.74
Controversy Deduction,5.10
Sustainability Score,42.64
Sustainability Mandate,No
