,Values
NAV,"8,110.53"
Open Price,"7,965.00"
Bid / Ask / Spread,"7,200.00 / 8,785.00 / 19.83%"
Volume / Avg,"755.0 / 6,718.0"
Day Range,"7,965.00 – 8,000.00"
Year Range,"7,480.00 – 9,500.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.780%
Total Assets,8.1 Bil
