Sectors,Fund %,Category %
Basic Materials,2.73,4.14
Consumer Cyclical,3.33,17.57
Financial Services,51.13,24.64
Real Estate,2.47,4.51
Communication Services,11.39,1.04
Energy,9.58,1.90
Industrials,3.25,9.90
Technology,10.75,15.66
Consumer Defensive,0.94,12.57
Healthcare,2.01,6.89
Utilities,2.41,1.19
