,Values
NAV,"12,628.22"
Open Price,"12,700.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"15,165.0 / 15,331.1"
Day Range,"12,595.00 – 12,890.00"
Year Range,"11,365.00 – 14,000.00"
SEC Yield ,—
12-Month Yield ,3.67%
Premium ,—
Expense Ratio,0.450%
Total Assets,55.6 Bil
