,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,14.74,-8.41,11.09
Fund (NAV),—,—,—,—,—,—,—,—,14.09,-8.42,9.85
+/ Category (NAV),—,—,—,—,—,—,—,—,-17.37,13.20,-7.36
+/- Index (Price),—,—,—,—,—,—,—,—,-20.63,2.41,5.17
Percentile Rank,—,—,—,—,—,—,—,—,90,2,73
# of Funds in Category,—,—,—,—,—,—,—,636,734,890,923
