,Values
NAV,"9,076.50"
Open Price,"9,015.00"
Bid / Ask / Spread,"8,115.00 / 9,910.00 / 19.92%"
Volume / Avg,"6,581.0 / 13,793.7"
Day Range,"9,010.00 – 9,015.00"
Year Range,"8,750.00 – 11,055.00"
SEC Yield ,—
12-Month Yield ,1.60%
Premium ,—
Expense Ratio,0.200%
Total Assets,26.3 Bil
