,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,43.17,-7.35,15.42,-6.39,-11.61,-2.50,-5.16,35.91,-4.89,-2.45
Fund (NAV),—,41.22,-7.82,15.70,-6.05,-11.74,-2.76,-4.71,35.96,-4.87,-1.13
+/ Category (NAV),—,18.27,2.89,8.72,-7.16,-6.66,-6.78,-5.40,13.48,11.80,3.65
+/- Index (Price),—,20.95,1.22,1.09,-8.91,-4.46,0.32,-18.98,3.68,12.74,-3.11
Percentile Rank,—,2,20,3,96,91,85,75,1,2,9
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,325"
