,Values
NAV,"7,294.20"
Open Price,"7,255.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,1.0 / 30.5
Day Range,"7,255.00 – 7,255.00"
Year Range,"7,255.00 – 8,625.00"
SEC Yield ,—
12-Month Yield ,2.15%
Premium ,—
Expense Ratio,0.470%
Total Assets,4.8 Bil
