,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,98.38,0.00,98.38,95.78,99.99
Bonds,0.00,0.00,0.00,0.20,0.00
Other,0.00,0.00,0.00,0.80,0.00
Cash,0.48,2.04,2.52,3.21,0.00
Not Classified,1.14,0.00,1.14,1.64,0.01
