,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-3.16
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-3.24
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,0.18
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-3.82
Percentile Rank,—,—,—,—,—,—,—,—,—,—,38
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015",41
