,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.41,-0.27,-2.69,-4.65,-4.71,-8.58,-0.04,-2.40,—,—,—
Total Return % (NAV),0.00,0.24,-2.19,-4.25,-4.35,-8.12,0.12,-2.32,—,—,-1.82
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
