,Values
NAV,"44,425.78"
Open Price,"44,160.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"113,312.0 / 17,480.1"
Day Range,"44,125.00 – 44,225.00"
Year Range,"44,125.00 – 48,515.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.090%
Total Assets,12.5 Bil
