,Fund,Cat. Average,Index
Price/Earnings ,7.51,11.02,12.13
Price/Book ,0.60,0.84,0.86
Price/Sales ,0.35,0.53,0.65
Price/Cash Flow ,4.45,3.46,3.66
Dividend Yield % ,3.13,3.08,3.48
Long-Term Earnings % ,7.27,10.07,3.69
Historical Earnings % ,-2.34,15.26,14.88
Sales Growth % ,-9.69,11.25,4.89
Cash-Flow Growth % ,-28.40,16.83,15.05
Book-Value Growth % ,1.89,10.86,8.56
