,Values
NAV,"9,204.87"
Open Price,"9,210.00"
Bid / Ask / Spread,"9,080.00 / 9,115.00 / 0.38%"
Volume / Avg,111.0 / 21.0
Day Range,"9,210.00 – 9,210.00"
Year Range,"9,210.00 – 11,335.00"
SEC Yield ,—
12-Month Yield ,1.53%
Premium ,—
Expense Ratio,0.410%
Total Assets,11.3 Bil
