Sectors,Fund %,Category %
Basic Materials,9.07,8.70
Consumer Cyclical,14.20,13.65
Financial Services,28.03,11.56
Real Estate,0.00,0.29
Communication Services,5.35,2.34
Energy,5.42,1.96
Industrials,9.84,10.46
Technology,5.91,38.20
Consumer Defensive,20.36,6.64
Healthcare,1.84,4.97
Utilities,0.00,1.23
