,Fund,Cat. Average,Index
Price/Earnings ,16.97,13.31,—
Price/Book ,4.30,0.99,—
Price/Sales ,1.68,0.52,—
Price/Cash Flow ,5.70,3.85,—
Dividend Yield % ,2.04,2.16,—
Long-Term Earnings % ,10.96,15.19,—
Historical Earnings % ,14.64,35.81,—
Sales Growth % ,7.12,2.99,—
Cash-Flow Growth % ,10.74,2.81,—
Book-Value Growth % ,-0.80,1.55,—
