Sectors,Fund %,Category %
Basic Materials,0.50,41.47
Consumer Cyclical,1.01,9.12
Financial Services,0.00,3.43
Real Estate,0.00,0.11
Communication Services,0.00,1.43
Energy,0.00,2.87
Industrials,96.47,19.64
Technology,2.02,14.78
Consumer Defensive,0.00,3.91
Healthcare,0.00,2.14
Utilities,0.00,1.10
