,Fund,Cat. Average,Index
Price/Earnings ,17.85,13.31,—
Price/Book ,4.40,0.99,—
Price/Sales ,1.71,0.52,—
Price/Cash Flow ,5.72,3.85,—
Dividend Yield % ,2.04,2.16,—
Long-Term Earnings % ,11.17,15.19,—
Historical Earnings % ,12.10,35.81,—
Sales Growth % ,7.20,2.99,—
Cash-Flow Growth % ,10.99,2.81,—
Book-Value Growth % ,-0.85,1.55,—
