,Values
NAV,"16,052.79"
Open Price,"15,790.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,397.0 / 765.4"
Day Range,"15,780.00 – 15,930.00"
Year Range,"11,905.00 – 16,395.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.370%
Total Assets,8.6 Bil
