,Values
Sustainability Rate,Low
Percent Rank in Global Category,91%
Historical Sustainability Score,38.11
Global Category,Korea Equity
Portfolio ESG,39.95
Controversy Deduction,1.39
Sustainability Score,38.56
Sustainability Mandate,No
