,Fund,Cat. Average,Index
Price/Earnings ,14.64,11.02,12.13
Price/Book ,1.31,0.84,0.86
Price/Sales ,0.57,0.53,0.65
Price/Cash Flow ,3.98,3.46,3.66
Dividend Yield % ,2.53,3.08,3.48
Long-Term Earnings % ,29.23,10.07,3.69
Historical Earnings % ,10.25,15.26,14.88
Sales Growth % ,0.76,11.25,4.89
Cash-Flow Growth % ,12.10,16.83,15.05
Book-Value Growth % ,7.19,10.86,8.56
