,Values
NAV,"19,066.34"
Open Price,"19,130.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"4.0 / 7,577.0"
Day Range,"19,085.00 – 19,130.00"
Year Range,"18,440.00 – 24,825.00"
SEC Yield ,—
12-Month Yield ,1.99%
Premium ,—
Expense Ratio,0.340%
Total Assets,26.7 Bil
