Sectors,Fund %,Category %
Basic Materials,6.48,8.70
Consumer Cyclical,30.41,13.65
Financial Services,10.20,11.56
Real Estate,0.00,0.29
Communication Services,3.33,2.34
Energy,0.00,1.96
Industrials,16.54,10.46
Technology,9.90,38.20
Consumer Defensive,23.14,6.64
Healthcare,0.00,4.97
Utilities,0.00,1.23
