,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,0.00
Non-U.S.Stock,100.00,0.00,100.00,97.04,98.17
Bonds,0.00,0.00,0.00,0.39,0.00
Other,0.00,0.00,0.00,0.14,1.83
Cash,-0.00,100.00,100.00,4.66,0.00
Not Classified,0.00,0.00,0.00,0.24,0.00
