,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,26.91,—
Non-U.S.Stock,101.36,0.00,101.36,41.47,—
Bonds,0.00,0.00,0.00,0.51,—
Other,0.00,0.00,0.00,0.78,—
Cash,-1.36,139.42,138.06,75.36,—
Not Classified,0.00,0.00,0.00,0.11,—
