,Values
NAV,"44,285.94"
Open Price,"44,325.00"
Bid / Ask / Spread,"44,280.00 / 44,315.00 / 0.08%"
Volume / Avg,10.0 / 17.6
Day Range,"44,325.00 – 44,325.00"
Year Range,"44,170.00 – 49,700.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.190%
Total Assets,7.1 Bil
