,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.88,-1.40,-4.26,-6.28,-7.07,-12.34,—,—,—,—,—
Total Return % (NAV),0.07,-0.17,-3.34,-5.96,-6.40,-11.05,—,—,—,—,-10.72
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
