,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,8.15,—
Non-U.S.Stock,99.75,0.00,99.75,79.51,—
Bonds,0.00,0.00,0.00,0.07,—
Other,0.00,0.00,0.00,0.89,—
Cash,0.25,0.22,0.47,24.83,—
Not Classified,0.00,0.00,0.00,0.06,—
