,Values
NAV,"8,065.52"
Open Price,"8,070.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,40.0 / 53.2
Day Range,"7,990.00 – 8,070.00"
Year Range,"7,460.00 – 9,710.00"
SEC Yield ,—
12-Month Yield ,0.22%
Premium ,—
Expense Ratio,0.410%
Total Assets,3.6 Bil
