,Fund,Cat. Average,Index
Price/Earnings ,16.87,13.31,—
Price/Book ,1.60,0.99,—
Price/Sales ,2.38,0.52,—
Price/Cash Flow ,10.45,3.85,—
Dividend Yield % ,0.48,2.16,—
Long-Term Earnings % ,51.56,15.19,—
Historical Earnings % ,5.93,35.81,—
Sales Growth % ,9.07,2.99,—
Cash-Flow Growth % ,10.09,2.81,—
Book-Value Growth % ,8.80,1.55,—
