,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-1.26,31.02
Fund (NAV),—,—,—,—,—,—,—,—,—,-0.99,36.11
+/ Category (NAV),—,—,—,—,—,—,—,—,—,3.44,13.16
+/- Index (Price),—,—,—,—,—,—,—,—,—,1.54,8.90
Percentile Rank,—,—,—,—,—,—,—,—,—,1,1
# of Funds in Category,—,—,—,—,—,—,—,—,59,70,75
