,Values
NAV,"27,821.08"
Open Price,"27,775.00"
Bid / Ask / Spread,"0.00 / 27,860.00 / 0.00%"
Volume / Avg,"166.0 / 1,795.6"
Day Range,"27,500.00 – 27,775.00"
Year Range,"20,155.00 – 29,135.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.630%
Total Assets,11.1 Bil
