Sectors,Fund %,Category %
Basic Materials,14.69,21.74
Consumer Cyclical,0.00,3.08
Financial Services,20.11,17.33
Real Estate,0.00,1.68
Communication Services,2.09,1.24
Energy,57.71,43.73
Industrials,0.00,1.59
Technology,0.00,2.90
Consumer Defensive,4.23,3.86
Healthcare,0.00,0.68
Utilities,1.18,2.17
