,Fund,Cat. Average,Index
Price/Earnings ,5.74,6.59,5.72
Price/Book ,0.84,1.02,0.78
Price/Sales ,0.87,0.88,0.82
Price/Cash Flow ,2.56,2.81,2.36
Dividend Yield % ,7.40,8.67,7.40
Long-Term Earnings % ,9.64,10.98,10.68
Historical Earnings % ,34.96,26.09,32.08
Sales Growth % ,16.71,11.42,14.56
Cash-Flow Growth % ,39.99,23.06,29.47
Book-Value Growth % ,9.62,5.52,9.57
