,Values
NAV,"11,734.18"
Open Price,"11,655.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"20,340.0 / 33,266.8"
Day Range,"11,610.00 – 11,655.00"
Year Range,"11,490.00 – 14,155.00"
SEC Yield ,—
12-Month Yield ,1.46%
Premium ,—
Expense Ratio,0.090%
Total Assets,63.4 Bil
