,Fund,Cat. Average,Index
Price/Earnings ,11.92,17.17,20.64
Price/Book ,1.46,2.04,3.84
Price/Sales ,1.10,1.37,2.36
Price/Cash Flow ,4.24,7.78,11.93
Dividend Yield % ,1.79,1.69,1.48
Long-Term Earnings % ,39.70,8.11,10.45
Historical Earnings % ,36.29,12.12,18.19
Sales Growth % ,15.31,7.65,8.61
Cash-Flow Growth % ,21.93,13.49,16.51
Book-Value Growth % ,21.83,7.62,8.68
