,Values
Sustainability Rate,Low
Percent Rank in Global Category,100%
Historical Sustainability Score,36.56
Global Category,Technology Sector Equity
Portfolio ESG,37.96
Controversy Deduction,0.96
Sustainability Score,37.00
Sustainability Mandate,No
