,Values
NAV,"19,782.65"
Open Price,"19,775.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"452.0 / 15,278.7"
Day Range,"19,695.00 – 19,945.00"
Year Range,"16,150.00 – 24,760.00"
SEC Yield ,—
12-Month Yield ,1.23%
Premium ,—
Expense Ratio,0.480%
Total Assets,12.7 Bil
