,Values
NAV,"7,918.73"
Open Price,"7,875.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"303,429.0 / 647,082.2"
Day Range,"7,830.00 – 7,880.00"
Year Range,"7,735.00 – 9,180.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.200%
Total Assets,771.3 Bil
