Sectors,Fund %,Category %
Basic Materials,7.86,8.70
Consumer Cyclical,10.75,13.65
Financial Services,13.25,11.56
Real Estate,0.00,0.29
Communication Services,1.02,2.34
Energy,2.20,1.96
Industrials,8.24,10.46
Technology,43.39,38.20
Consumer Defensive,6.07,6.64
Healthcare,6.06,4.97
Utilities,1.17,1.23
