,Fund,Cat. Average,Index
Price/Earnings ,7.45,11.02,12.13
Price/Book ,0.81,0.84,0.86
Price/Sales ,0.48,0.53,0.65
Price/Cash Flow ,4.29,3.46,3.66
Dividend Yield % ,2.62,3.08,3.48
Long-Term Earnings % ,11.55,10.07,3.69
Historical Earnings % ,6.70,15.26,14.88
Sales Growth % ,3.98,11.25,4.89
Cash-Flow Growth % ,-7.91,16.83,15.05
Book-Value Growth % ,4.78,10.86,8.56
