,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.00,-0.07,-7.60,-8.76,-10.92,-16.32,—,—,—,—,—
Total Return % (NAV),0.06,0.76,-8.04,-8.72,-10.86,-17.11,—,—,—,—,-20.83
+/- Category (NAV),-0.71,-0.72,-0.94,-1.94,-5.99,-4.22,—,—,—,—,—
+/- Index (NAV),0.06,-0.49,-1.84,-5.01,-11.35,-7.32,—,—,—,—,—
