,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.58,1.23,-6.77,-5.79,0.82,-3.09,1.22,—,—,—,—
Total Return % (NAV),-0.48,1.10,-6.80,-5.77,0.82,-3.09,1.10,—,—,—,1.48
+/- Category (NAV),0.34,0.54,1.01,1.65,6.38,9.99,2.42,—,—,—,—
+/- Index (NAV),0.60,1.36,0.18,-1.30,1.25,7.22,-2.95,—,—,—,—
