Sectors,Fund %,Category %
Basic Materials,7.77,8.70
Consumer Cyclical,14.48,13.65
Financial Services,14.68,11.56
Real Estate,0.00,0.29
Communication Services,5.55,2.34
Energy,4.24,1.96
Industrials,3.05,10.46
Technology,29.68,38.20
Consumer Defensive,5.49,6.64
Healthcare,12.90,4.97
Utilities,2.15,1.23
