,Values
NAV,"10,287.80"
Open Price,"10,335.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,193.0 / 604.1
Day Range,"10,270.00 – 10,350.00"
Year Range,"9,505.00 – 11,720.00"
SEC Yield ,—
12-Month Yield ,1.14%
Premium ,—
Expense Ratio,0.650%
Total Assets,7.2 Bil
