,Fund,Cat. Average,Index
Price/Earnings ,11.29,11.02,12.13
Price/Book ,0.87,0.84,0.86
Price/Sales ,0.70,0.53,0.65
Price/Cash Flow ,4.61,3.46,3.66
Dividend Yield % ,2.68,3.08,3.48
Long-Term Earnings % ,11.92,10.07,3.69
Historical Earnings % ,-1.14,15.26,14.88
Sales Growth % ,4.84,11.25,4.89
Cash-Flow Growth % ,-4.30,16.83,15.05
Book-Value Growth % ,8.42,10.86,8.56
