,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,20.72,-12.70,0.18
Fund (NAV),—,—,—,—,—,—,—,—,20.75,-12.66,1.18
+/ Category (NAV),—,—,—,—,—,—,—,—,-1.72,4.02,6.04
+/- Index (Price),—,—,—,—,—,—,—,—,-11.51,4.93,-0.31
Percentile Rank,—,—,—,—,—,—,—,—,66,13,3
# of Funds in Category,—,—,—,—,—,—,—,"2,012","2,058","2,015","2,284"
