,Values
NAV,"47,394.85"
Open Price,"47,425.00"
Bid / Ask / Spread,"47,380.00 / 47,415.00 / 0.07%"
Volume / Avg,15.0 / 13.1
Day Range,"47,425.00 – 47,425.00"
Year Range,"47,325.00 – 49,865.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.190%
Total Assets,7.6 Bil
