,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,48.63,20.87,-13.05,26.53,-15.30,28.47
Fund (NAV),—,—,—,—,—,48.66,21.50,-13.72,27.01,-15.61,31.03
+/ Category (NAV),—,—,—,—,—,27.20,0.97,2.07,1.76,-9.30,34.99
+/- Index (Price),—,—,—,—,—,30.40,13.97,-6.09,5.12,-16.60,20.29
Percentile Rank,—,—,—,—,—,—,—,27,37,95,1
# of Funds in Category,—,—,—,—,16,30,45,80,93,100,118
