,Values
NAV,"22,674.29"
Open Price,"22,445.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,62.0 / 848.7
Day Range,"22,290.00 – 22,445.00"
Year Range,"16,380.00 – 25,240.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.360%
Total Assets,6.2 Bil
